Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Years,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.299999999999999,0,0.017235185222222223,4,249.8092,9,14,1,0,1,3735.138
DRC01,5.920000000000001,1,0.02065332422222222,14,48.2692,3,4,1,2,2,443.4228
FDN15,17.5,0,0.017457161199999998,10,141.618,9,14,1,0,1,2097.27
FDX07,19.2,1,0.017834337888888892,6,182.095,0,15,2,2,0,732.38
NCD19,8.93,0,0.009779828555555557,9,53.8614,1,26,0,2,1,994.7052
FDP36,10.394999999999998,1,0.057058688875,0,51.4008,3,4,1,2,2,556.6088
FDO10,13.650000000000002,1,0.0085099589,13,57.6588,1,26,0,2,1,343.5528
FDP10,19.0,0,0.1464341176,13,107.7622,5,28,1,2,3,4022.7636
FDH17,16.2,1,0.018056513444444443,5,96.9726,7,11,2,1,1,1076.5986
FDU28,19.2,1,0.0979784769,5,187.8214,2,6,2,1,1,4710.535
FDY07,11.799999999999999,0,0.040626524444444444,6,45.5402,9,14,1,0,1,1516.0266
FDA03,18.5,1,0.04385452222222222,4,144.1102,8,16,2,0,1,2187.153
FDX32,15.099999999999998,1,0.0974448714,6,145.4786,9,14,1,0,1,1589.2646
FDS46,17.599999999999998,1,0.05123912522222222,13,119.6782,8,16,2,0,1,2145.2076
FDF32,16.349999999999998,0,0.05807434344444445,6,196.4426,1,26,0,2,1,1977.4260000000002
FDP49,9.0,1,0.06720242022222221,2,56.3614,8,16,2,0,1,1547.3192
NCB42,11.799999999999999,0,0.00856914775,8,115.3492,3,4,1,2,2,1621.8888
FDP49,9.0,1,0.06720242022222221,2,54.3614,9,14,1,0,1,718.3982
DRI11,8.26,0,0.0393313756,7,113.2834,5,28,1,2,3,2303.6679999999997
FDU02,13.349999999999998,0,0.111148894,4,230.5352,6,9,2,1,1,2748.4224
FDN22,18.849999999999998,1,0.12122969750000001,13,250.8724,1,26,0,2,1,3775.086
FDW12,8.315,1,0.0370948195,0,144.5444,5,28,1,2,3,4064.0432
NCB30,14.599999999999998,0,0.029781319888888894,9,196.5084,6,9,2,1,1,1587.2672
FDC37,15.5,0,0.037581195199999994,0,107.6938,4,28,2,0,0,214.3876
FDR28,13.849999999999998,1,0.027856687222222218,5,165.021,8,16,2,0,1,4078.025
NCD06,13.0,0,0.107694204,9,45.906000000000006,2,6,2,1,1,838.908
FDV10,7.644999999999998,1,0.06290438490000001,13,42.3112,6,9,2,1,1,1065.28
DRJ59,11.650000000000002,0,0.018696562555555556,7,39.1164,1,26,0,2,1,308.9312
FDE51,5.924999999999999,1,0.11177392255555557,4,45.5086,0,15,2,2,0,178.4344
FDC14,14.5,1,0.0430147026,3,43.6454,4,28,2,0,0,125.8362
FDV38,19.25,0,0.11634902790000001,4,55.7956,0,15,2,2,0,163.7868
NCS17,18.599999999999998,0,0.080576399125,8,96.4436,3,4,1,2,2,2741.7644
FDP33,18.7,0,0.0930934742,13,256.6672,3,4,1,2,2,3068.0064
FDO23,17.849999999999998,0,0.14246229066666669,1,93.1436,7,11,2,1,1,2174.5028
DRH01,17.5,0,0.10615320288888891,14,174.8738,8,16,2,0,1,2085.2856
NCX29,10.0,0,0.10192019429999999,8,146.7102,9,14,1,0,1,3791.0652
FDV20,20.2,1,0.062351684100000006,6,128.0678,5,28,1,2,3,2797.6916
DRZ11,8.85,1,0.11276984812500003,14,122.5388,3,4,1,2,2,1609.9044
FDX10,6.384999999999999,1,0.12036711377777778,13,36.9874,5,28,1,2,3,388.1614
FDB34,15.25,0,0.02862400988888889,13,87.6198,5,28,1,2,3,2180.495
FDU02,13.349999999999998,0,0.111148894,4,230.6352,8,16,2,0,1,3435.528
FDK43,9.799999999999999,0,0.02910230888888889,10,126.00200000000001,1,26,0,2,1,2150.534
FDA46,13.599999999999998,0,0.1265397271111111,13,192.9136,9,14,1,0,1,2527.3768
FDC02,21.349999999999998,0,0.0740319097777778,3,259.9278,3,4,1,2,2,6768.5228
FDL50,12.15,1,0.042359248,3,126.5046,1,26,0,2,1,373.5138
FDM39,6.420000000000001,0,0.06112827479999999,4,178.1002,0,15,2,2,0,358.2004
NCP05,19.599999999999998,0,0.018756953777777776,8,153.3024,7,11,2,1,1,2428.8384
FDV49,10.0,0,0.028003340666666668,3,265.2226,7,11,2,1,1,5815.0972
FDL12,15.849999999999998,1,0.1390519235,0,60.622,8,16,2,0,1,2576.646
FDS02,10.195000000000002,1,0.12575530044444444,4,196.8794,4,28,2,0,0,780.3176
NCL17,7.39,0,0.0774865454,8,143.8812,8,16,2,0,1,3134.5864
FDM40,10.195,0,0.15417188799999998,5,141.5154,1,26,0,2,1,850.8924
FDR13,9.894999999999998,1,0.0328339854,3,117.0492,1,26,0,2,1,810.9444
FDA43,10.894999999999998,0,0.0739380589,6,196.3794,2,6,2,1,1,3121.2704
NCP18,12.150000000000002,0,0.03100787411111111,9,151.4708,2,6,2,1,1,4815.0656
FDK21,7.905,0,0.01077018888888889,13,249.0408,3,4,1,2,2,6258.52
NCX54,9.195,0,0.05169770377777778,9,106.1622,7,11,2,1,1,2117.244
DRK35,8.365,0,0.082135738,7,38.0506,9,14,1,0,1,796.9626
FDY21,15.099999999999998,0,0.1519549118,13,194.511,8,16,2,0,1,4910.275
FDI26,5.9399999999999995,0,0.03782621777777778,3,180.0344,4,28,2,0,0,892.172
FDM20,10.0,0,0.0364918673,6,246.9144,3,4,1,2,2,3185.1872
FDV27,7.97,1,0.047120685,10,87.3514,7,11,2,1,1,1062.6168
FDF09,6.215,0,0.013068501555555554,6,38.2848,5,28,1,2,3,484.7024
FDY40,15.5,1,0.08092979719999999,5,51.0692,4,28,2,0,0,147.8076
FDY45,17.5,0,0.02231451677777778,13,255.8356,5,28,1,2,3,2543.356
FDC46,17.7,0,0.125364024,13,185.4266,0,15,2,2,0,184.4266
FDH19,19.349999999999998,0,0.03587643255555556,10,172.5738,6,9,2,1,1,4865.6664
FDZ03,13.650000000000002,1,0.075609201875,4,186.024,7,11,2,1,1,1118.5439999999999
DRH37,17.599999999999998,0,0.047576297200000006,14,164.8526,7,11,2,1,1,2302.3364
NCI17,8.644999999999998,0,0.1395464888888889,8,95.84100000000001,8,16,2,0,1,2027.361
FDJ58,15.599999999999998,1,0.12037567930000001,13,170.1764,8,16,2,0,1,3435.528
FDL12,15.849999999999998,1,0.1390519235,0,59.222,1,26,0,2,1,599.22
FDH35,18.25,0,0.05810121044444445,15,164.7526,7,11,2,1,1,4604.6728
FDG02,7.855000000000002,0,0.012210005222222223,3,189.6188,2,6,2,1,1,2285.0256
NCZ18,7.825000000000001,0,0.18095437455555555,9,254.3698,9,14,1,0,1,5580.7356
FDC29,8.39,1,0.024228199,5,114.0176,8,16,2,0,1,2290.3520000000003
FDQ10,12.849999999999998,0,0.035974838777777775,13,172.3422,9,14,1,0,1,1207.0954
FDN48,13.349999999999998,0,0.07425242029999998,0,89.9804,4,28,2,0,0,643.1628
FDL04,19.0,0,0.12135383911111111,5,104.9622,2,6,2,1,1,1587.933
FDV25,5.905,0,0.04441604033333333,3,222.5456,7,11,2,1,1,5305.0944
FDD58,7.759999999999999,0,0.06785216390000001,13,101.87,8,16,2,0,1,1697.79
FDN04,11.799999999999999,1,0.012339624625,5,180.3344,8,16,2,0,1,1427.4752
FDV45,16.75,0,0.048843035666666666,13,187.9556,3,4,1,2,2,4693.89
NCL18,18.849999999999998,0,0.18170413355555556,9,194.6136,4,28,2,0,0,583.2408
FDR12,12.599999999999998,1,0.0360508913,0,171.3764,5,28,1,2,3,3091.9752
FDG20,15.5,1,0.13520170966666667,6,177.0028,2,6,2,1,1,2479.4392
FDZ55,6.055,0,0.025432360875,6,160.99200000000002,6,9,2,1,1,2716.4640000000004
FDQ49,20.2,1,0.040935729500000004,2,155.963,5,28,1,2,3,3285.723
FDN33,6.305,1,0.12323039937500001,13,95.6436,8,16,2,0,1,661.8052
FDN27,20.849999999999998,0,0.03406150677777778,10,117.2808,9,14,1,0,1,1523.3504
FDW20,20.75,0,0.023294120111111108,6,122.17299999999999,0,15,2,2,0,369.519
DRG27,8.894999999999998,0,0.10224054266666667,4,39.9138,9,14,1,0,1,690.4346
DRI25,19.599999999999998,0,0.036467570111111104,14,55.1614,7,11,2,1,1,1381.535
FDA44,19.7,0,0.05725134355555555,6,57.893,6,9,2,1,1,622.523
NCR17,9.799999999999999,0,0.02440602075,8,114.5492,6,9,2,1,1,1274.3412
FDU04,7.93,0,0.004780437333333333,5,120.0414,4,28,2,0,0,487.3656
FDF41,12.150000000000002,0,0.14996626770000002,5,246.046,9,14,1,0,1,1231.73
FDB56,8.75,1,0.06541346075,6,187.4556,6,9,2,1,1,3755.112
NCP18,12.150000000000002,0,0.03100787411111111,9,149.9708,5,28,1,2,3,4363.6532
FDB56,8.75,1,0.06541346075,6,187.8556,8,16,2,0,1,1314.2892
FDT28,13.299999999999999,0,0.06892211311111111,5,151.0708,7,11,2,1,1,1805.6496
FDD10,20.599999999999998,1,0.044391723111111114,13,178.5344,5,28,1,2,3,2854.9504
FDW57,8.31,1,0.10132541274999998,13,179.1028,9,14,1,0,1,3896.2616
DRB48,16.75,1,0.02397324366666667,14,38.7822,1,26,0,2,1,667.7974
FDP09,19.75,0,0.038743272700000005,13,212.0902,3,4,1,2,2,3185.853
FDH14,17.099999999999998,1,0.05351207570000001,3,141.1838,1,26,0,2,1,2247.7408
FDA47,10.5,1,0.113514422,0,163.121,1,26,0,2,1,1794.3310000000001
FDG12,6.634999999999999,1,0.004924115333333334,0,121.3098,7,11,2,1,1,2530.7058
DRE60,9.394999999999998,0,0.172759627,14,225.372,4,28,2,0,0,679.1160000000001
DRK49,14.150000000000002,0,0.03479798869999999,14,41.4138,1,26,0,2,1,812.2760000000001
FDD03,13.299999999999999,0,0.079880575125,4,232.53,8,16,2,0,1,699.09
FDS52,8.89,0,0.0062585286,5,102.4016,2,6,2,1,1,2732.4432
FDW39,6.6899999999999995,1,0.028607903799999994,10,176.937,4,28,2,0,0,176.437
FDX34,6.195,0,0.07205255725,13,121.7098,5,28,1,2,3,4097.3332
FDV11,9.1,1,0.078393078375,1,173.2054,7,11,2,1,1,3151.8972
FDD17,7.5,0,0.0340374279,5,239.0906,9,14,1,0,1,5942.265
FDZ16,16.849999999999998,1,0.16669833390000002,5,192.4478,2,6,2,1,1,4843.695
FDZ46,7.485,0,0.06918808237499999,13,109.0228,6,9,2,1,1,2542.0244
DRA12,11.599999999999998,0,0.03493779266666667,14,140.3154,2,6,2,1,1,2552.6772
FDY58,11.650000000000002,0,0.0456353806,13,227.0694,3,4,1,2,2,1141.847
NCF19,13.0,0,0.040136706,9,47.5034,2,6,2,1,1,680.4476
DRJ13,12.650000000000002,0,0.067650708,14,159.0578,7,11,2,1,1,2085.9514
FDB14,20.25,1,0.09944953190000001,3,92.512,0,15,2,2,0,186.424
FDJ38,8.6,1,0.039147514666666675,3,190.153,6,9,2,1,1,3036.048
FDW11,12.599999999999998,0,0.052474582,1,62.7194,2,6,2,1,1,866.8716
FDL40,17.7,0,0.0100750951,5,95.041,6,9,2,1,1,868.8689999999999
DRI49,14.150000000000002,0,0.18367816175,14,82.4276,8,16,2,0,1,1137.1864
FDV38,19.25,0,0.11634902790000001,4,52.7956,2,6,2,1,1,928.1252
DRG23,8.88,0,0.08366836566666666,7,151.7682,1,26,0,2,1,762.341
NCP30,20.5,0,0.0327992025,9,40.2822,7,11,2,1,1,707.0796
FDY25,12.0,0,0.029752662875000002,3,180.5976,5,28,1,2,3,7968.2944
NCH54,13.5,0,0.08423923144444444,9,160.292,8,16,2,0,1,1438.128
NCR53,12.150000000000002,0,0.15124920709999998,8,224.4404,5,28,1,2,3,6976.2524
FDS52,8.89,0,0.0062585286,5,101.7016,0,15,2,2,0,101.2016
FDG02,7.855000000000002,0,0.012210005222222223,3,188.5188,3,4,1,2,2,952.0939999999999
NCO26,7.235,0,0.08267312011111111,9,116.0492,8,16,2,0,1,1969.4364
FDH35,18.25,0,0.05810121044444445,15,165.4526,5,28,1,2,3,5262.4832
FDB51,6.920000000000001,0,0.0384898815,4,60.5852,7,11,2,1,1,1314.2892
FDX44,9.299999999999999,0,0.04658680933333333,6,90.8172,2,6,2,1,1,535.3032
NCN07,18.5,0,0.0388059684,11,132.1284,0,15,2,2,0,263.6568
NCC31,8.019999999999998,0,0.020730748299999997,9,154.5972,6,9,2,1,1,1402.1748
NCX54,9.195,0,0.05169770377777778,9,105.1622,2,6,2,1,1,1693.7952
NCO55,12.799999999999999,0,0.1040748059,11,105.5938,7,11,2,1,1,2143.876
NCC30,16.599999999999998,0,0.02966677122222222,9,177.6344,9,14,1,0,1,2676.5159999999996
FDI16,14.0,1,0.14164533829999998,5,53.06399999999999,6,9,2,1,1,905.488
FDP16,18.599999999999998,0,0.04226922922222222,5,246.3802,9,14,1,0,1,7370.406
FDB11,16.0,0,0.06545384633333334,15,226.8404,6,9,2,1,1,6301.1312
